PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31;TECNICA;ENVIADO
LUGO;SAVIÑAO (O);999;DIOXIDO DE AZUFRE;27058999_1_38;2019;11;0;69;V;0;63;V;0;56;V;0;46;V;0;49;V;0;57;V;0;56;V;0;39;V;0;12;V;0;11;V;0;16;V;0;10;V;0;13;V;0;17;V;0;14;V;0;12;V;0;980;V;0;18;V;0;15;V;N;0;23;V;N;0;49
ZAMORA;PEÑAUSENDE;999;MONOXIDO DE NITROGENO;49149999_7_8;2019;11;0;10;V;0;620;V;0;5;V;0;520;V;0;640;V;0;810;V;0;670;V;0;710;V;0;860;V;0;650;V;0;880;V;0;850;V;0;7;V;0;570;V;0;930;V;0;13;V;0;8;V;0;880;V;0;980;V;0;570;V;0;610;V;0
VALENCIA;ZARRA;999;MONOXIDO DE NITROGENO;46263999_7_8;2020;1;0;13;V;0;21;V;0;18;V;0;15;V;0;12;V;0;10;V;0;26;V;0;37;V;0;21;V;0;13;V;0;10;V;0;25;V;0;13;V;0;12;V;0;950;V;0;14;V;0;11;V;0;970;V;0;840;V;0;13;V;0;890;V;0
CORUÑA;NOIA;999;OZONO;15057999_14_6;2020;1;77;V;49;V;52;V;57;V;51;V;54;V;52;V;49;V;53;V;58;V;59;V;54;V;60;V;59;V;58;V;60;V;55;V;55;V;60;V;61;V;53;V;51;V;56;V;52;V;56;V;57;V;62;V;57;V;58;V;57;V;50;V;C;
GUADALAJARA;CAMPISABALOS;999;CADMIO (PM10);19061999_28_M;2019;10;0;1;V;0;N;0;N;0;N;0;N;0;N;0;1;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;1;V;0;N;0;N;0;N;0;N;0;N;0;N;0;1;V;0;N;0;N;0;N;0;N;0;N;0;N;0;1
BALEARES;MAHON;999;OXIDOS DE NITROGENO TOTALES;07032999_12_8;2020;1;N;N;N;N;N;N;N;N;N;N;N;N;N;N;4;50;V;6;70;V;3;40;V;3;10;V;2;30;V;1;50;V;1;20;V;2;V;N;4;90;V;1;60;V;5;50;V;6;10;V;3;50;V;6;V;4;20;V;9;30;V;C;;
CORUÑA;NOIA;999;OXIDOS DE NITROGENO TOTALES;15057999_12_8;2020;1;N;N;N;N;N;N;N;N;N;N;N;N;N;N;4;30;V;4;60;V;4;10;V;3;20;V;1;50;V;2;20;V;N;N;3;20;V;4;20;V;4;V;8;10;V;2;90;V;7;60;V;4;50;V;6;40;V;5;60;V;C;;;
GIRONA;CADAQUES;999;OXIDOS DE NITROGENO TOTALES;17032999_12_8;2020;1;N;N;N;N;N;N;N;N;N;N;N;N;N;N;7;40;V;7;V;4;60;V;1;90;V;2;40;V;3;30;V;3;90;V;2;60;V;2;60;V;5;50;V;3;40;V;2;70;V;7;40;V;4;90;V;N;6;10;V;6;30;V;C;
GRANADA;VIZNAR;999;OXIDOS DE NITROGENO TOTALES;18189999_12_8;2020;1;N;N;N;N;N;N;N;N;N;N;N;N;N;N;3;50;V;3;70;V;6;60;V;1;90;V;1;10;V;1;50;V;2;20;V;7;50;V;2;V;2;40;V;2;20;V;1;40;V;3;80;V;6;90;V;3;10;V;3;90;V;5;50;V
GUADALAJARA;CAMPISABALOS;999;OXIDOS DE NITROGENO TOTALES;19061999_12_8;2020;1;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;2;V;4;60;V;1;V;1;40;V;2;10;V;1;50;V;1;80;V;2;50;V;2;V;2;10;V;2;10;V;0;94;V;0;86;V;1;20;V;1;20;V;C;;;;;
ASTURIAS;LLANES;999;OXIDOS DE NITROGENO TOTALES;33036999_12_8;2020;1;N;N;N;N;N;N;N;N;N;N;N;N;N;N;2;40;V;1;80;V;3;V;N;N;2;10;V;N;N;3;90;V;7;50;V;4;V;2;70;V;4;50;V;3;10;V;4;70;V;N;4;10;V;C;;;;;;;;;;
TOLEDO;SAN PABLO DE LOS MONTES;999;OXIDOS DE NITROGENO TOTALES;45153999_12_8;2020;1;N;N;N;N;N;N;N;N;N;N;N;N;N;N;0;70;V;0;69;V;0;67;V;0;55;V;1;10;V;2;20;V;2;60;V;1;40;V;1;30;V;1;30;V;0;67;V;N;N;N;N;2;10;V;2;20;V;C;;;;;;
GUADALAJARA;CAMPISABALOS;999;ARSENICO (PM10);19061999_17_M;2019;10;0;16;V;0;N;0;N;0;N;0;N;0;N;0;5;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;5;V;0;N;0;N;0;N;0;N;0;N;0;N;0;5;V;0;N;0;N;0;N;0;N;0;N;0;N;0;5
GUADALAJARA;CAMPISABALOS;999;NIQUEL (PM10);19061999_62_M;2019;10;0;10;V;0;N;0;N;0;N;0;N;0;N;0;10;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;10;V;0;N;0;N;0;N;0;N;0;N;0;N;0;10;V;0;N;0;N;0;N;0;N;0;N;0;N;0;10
HUELVA;ALMONTE;999;PARTICULAS EN SUSPENSION <10?M;21005999_10_M;2019;1;10;V;13;V;0;N;15;V;0;N;14;V;37;V;16;V;18;V;17;V;15;V;17;V;18;V;11;V;24;V;13;V;14;V;10;V;8;V;5;V;6;V;8;V;7;V;5;V;7;V;9;V;7;V;8;V;5;V;8;V;13;V;N;
HUELVA;ALMONTE;999;MONOXIDO DE NITROGENO;21005999_7_8;2019;11;0;35;V;0;24;V;0;21;V;0;20;V;0;28;V;0;37;V;0;23;V;0;27;V;0;24;V;0;21;V;0;38;V;0;39;V;0;24;V;0;20;V;0;22;V;0;28;V;0;25;V;0;21;V;1;10;V;0;93;V;0;50;V;0
BALEARES;MAHON;999;MONOXIDO DE NITROGENO;07032999_7_8;2019;11;0;27;V;0;20;V;0;65;V;0;17;V;0;92;V;1;30;V;0;31;V;2;40;V;0;64;V;0;12;V;N;N;0;49;V;0;85;V;0;25;V;0;13;V;1;40;V;0;12;V;0;30;V;0;970;V;0;21;V;0;21;V;0;21
TOLEDO;SAN PABLO DE LOS MONTES;999;BENCENO;45153999_30_M;2019;3;0;N;0;N;0;N;0;1944;V;0;N;0;N;0;9720;V;0;N;0;N;0;N;0;1296;V;0;N;0;N;0;1944;V;0;N;0;N;0;N;0;6480;V;0;N;0;N;0;2268;V;0;N;0;N;0;N;0;4860;V;0;N;0;N;0;2592;V
TOLEDO;SAN PABLO DE LOS MONTES;999;PLOMO (PM10);45153999_19_M;2019;3;0;N;0;N;0;N;0;290;V;0;N;0;N;0;N;0;N;0;N;0;N;0;710;V;0;N;0;N;0;N;0;N;0;N;0;1020;V;0;N;0;N;0;N;0;N;0;N;0;1870;V;0;N;0;N;0;N;0;N;0;N;0;780;V;0
TOLEDO;SAN PABLO DE LOS MONTES;999;CADMIO (PM10);45153999_28_M;2019;3;0;N;0;N;0;N;0;1;V;0;N;0;N;0;N;0;N;0;N;0;N;0;2;V;0;N;0;N;0;N;0;N;0;N;0;2;V;0;N;0;N;0;N;0;N;0;N;0;6;V;0;N;0;N;0;N;0;N;0;N;0;2;V;0
