PROVINCIA;MUNICIPIO;ESTACION;MAGNITUD;PUNTO_MUESTREO;ANNO;MES;D01;V01;D02;V02;D03;V03;D04;V04;D05;V05;D06;V06;D07;V07;D08;V08;D09;V09;D10;V10;D11;V11;D12;V12;D13;V13;D14;V14;D15;V15;D16;V16;D17;V17;D18;V18;D19;V19;D20;V20;D21;V21;D22;V22;D23;V23;D24;V24;D25;V25;D26;V26;D27;V27;D28;V28;D29;V29;D30;V30;D31;V31;TECNICA;ENVIADO
GIRONA;CADAQUES;999;DIOXIDO DE AZUFRE;17032999_1_38;2021;5;0;30;V;0;30;V;0;45;V;0;52;V;0;48;V;0;44;V;0;44;V;0;45;V;0;42;V;0;39;V;0;40;V;0;46;V;0;49;V;0;46;V;0;51;V;0;47;V;0;45;V;0;44;V;0;43;V;0;48;V;0;46;V;0
GIRONA;CADAQUES;999;MONOXIDO DE NITROGENO;17032999_7_8;2021;5;0;22;V;0;19;V;0;19;V;0;31;V;0;25;V;0;24;V;0;60;V;0;24;V;0;18;V;0;22;V;0;33;V;0;26;V;0;21;V;0;23;V;0;63;V;0;24;V;0;22;V;0;23;V;0;22;V;0;22;V;0;25;V;0
GIRONA;CADAQUES;999;DIOXIDO DE NITROGENO;17032999_8_8;2021;5;2;20;V;2;10;V;2;30;V;3;40;V;2;70;V;2;50;V;2;90;V;1;90;V;1;30;V;2;10;V;2;40;V;2;20;V;1;50;V;1;60;V;2;50;V;1;50;V;1;40;V;1;60;V;1;30;V;1;80;V;2;50;V;1
GRANADA;VIZNAR;999;MONOXIDO DE NITROGENO;18189999_7_8;2021;5;0;67;V;0;77;V;0;49;V;1;20;V;0;80;V;0;77;V;0;79;V;0;52;V;0;57;V;0;60;V;0;53;V;1;20;V;0;63;V;0;87;V;0;70;V;0;66;V;1;50;V;0;81;V;N;0;85;V;0;78;V;0;60;V
GRANADA;VIZNAR;999;DIOXIDO DE NITROGENO;18189999_8_8;2021;5;1;40;V;1;50;V;2;90;V;1;70;V;1;50;V;1;40;V;1;40;V;1;50;V;1;30;V;1;60;V;1;40;V;1;70;V;1;30;V;1;70;V;1;30;V;1;60;V;1;80;V;1;40;V;N;1;60;V;1;30;V;1;50;V
GRANADA;VIZNAR;999;OXIDOS DE NITROGENO TOTALES;18189999_12_8;2021;5;2;50;V;2;70;V;3;70;V;3;60;V;2;70;V;2;60;V;2;60;V;2;30;V;2;20;V;2;50;V;2;20;V;3;50;V;2;20;V;3;V;2;40;V;2;60;V;4;10;V;2;60;V;N;2;90;V;2;50;V;2;40;V;3
GUADALAJARA;CAMPISABALOS;999;DIOXIDO DE AZUFRE;19061999_1_38;2021;5;0;64;V;0;55;V;0;56;V;0;57;V;0;65;V;0;64;V;0;62;V;0;79;V;0;86;V;0;53;V;0;27;V;0;35;V;0;39;V;0;38;V;0;43;V;0;44;V;0;40;V;0;39;V;0;28;V;0;30;V;0;46;V;0
GUADALAJARA;CAMPISABALOS;999;MONOXIDO DE NITROGENO;19061999_7_8;2021;5;0;16;V;0;14;V;0;15;V;0;16;V;0;18;V;0;18;V;0;18;V;0;19;V;0;17;V;0;18;V;0;19;V;0;20;V;0;21;V;0;22;V;0;23;V;0;25;V;0;22;V;0;21;V;0;21;V;0;20;V;0;21;V;0
GUADALAJARA;CAMPISABALOS;999;DIOXIDO DE NITROGENO;19061999_8_8;2021;5;1;20;V;1;30;V;1;40;V;1;20;V;1;30;V;1;20;V;1;60;V;1;90;V;1;40;V;0;69;V;1;V;1;10;V;1;10;V;1;40;V;0;95;V;0;85;V;1;40;V;1;10;V;1;30;V;1;30;V;1;50;V;1;40
GUADALAJARA;CAMPISABALOS;999;PARTICULAS EN SUSPENSION <10?M;19061999_10_47;2021;5;5;70;V;7;20;V;8;10;V;N;8;90;V;10;V;12;V;16;V;17;V;N;4;40;V;5;70;V;5;10;V;6;50;V;6;50;V;4;80;V;9;50;V;9;20;V;7;80;V;10;V;16;V;10;V;8;30;V;7;10;V;14;V;15
GUADALAJARA;CAMPISABALOS;999;OXIDOS DE NITROGENO TOTALES;19061999_12_8;2021;5;1;50;V;1;50;V;1;60;V;1;50;V;1;60;V;1;40;V;1;90;V;2;20;V;1;70;V;0;97;V;1;30;V;1;40;V;1;40;V;1;70;V;1;30;V;1;20;V;1;80;V;1;50;V;1;60;V;1;70;V;1;90;V;1
GUADALAJARA;CAMPISABALOS;999;OZONO;19061999_14_6;2021;5;88;V;88;V;80;V;77;V;74;V;75;V;80;V;90;V;90;V;83;V;87;V;85;V;81;V;85;V;55;V;47;V;90;V;73;V;80;V;73;V;78;V;83;V;71;V;80;V;79;V;73;V;67;V;77;V;69;V;80;V;76;V;C;
ZAMORA;PEÑAUSENDE;999;OZONO;49149999_14_6;2021;7;98;V;86;V;62;V;59;V;57;V;63;V;59;V;68;V;84;V;88;V;84;V;61;V;60;V;66;V;77;V;88;V;94;V;103;V;105;V;105;V;114;V;124;V;81;V;72;V;56;V;76;V;92;V;83;V;95;V;83;V;61;V;C;
GRANADA;VIZNAR;999;OXIDOS DE NITROGENO TOTALES;18189999_12_8;2021;7;2;60;V;2;V;2;30;V;2;20;V;3;10;V;2;50;V;2;50;V;2;30;V;2;60;V;2;V;2;40;V;2;60;V;2;40;V;2;V;3;40;V;2;40;V;2;40;V;2;20;V;3;60;V;2;30;V;2;10;V;2;V;2;90
VALENCIA;ZARRA;999;OXIDOS DE NITROGENO TOTALES;46263999_12_8;2021;7;1;50;V;1;60;V;0;96;V;0;84;V;1;20;V;0;87;V;1;60;V;1;40;V;1;30;V;1;30;V;1;40;V;1;10;V;1;V;0;89;V;1;90;V;1;50;V;1;50;V;1;10;V;N;1;70;V;1;60;V;1;30;V;1
GIRONA;CADAQUES;999;DIOXIDO DE NITROGENO;17032999_8_8;2021;7;2;60;V;3;30;V;3;10;V;1;60;V;2;10;V;2;40;V;2;40;V;1;80;V;2;40;V;2;80;V;1;80;V;2;V;1;50;V;1;50;V;1;60;V;2;V;2;10;V;1;90;V;3;10;V;3;60;V;3;70;V;3;10;V
HUELVA;ALMONTE;999;MONOXIDO DE NITROGENO;21005999_7_8;2021;7;0;14;V;0;32;V;0;18;V;0;14;V;0;890;V;0;16;V;0;620;V;0;11;V;0;18;V;0;25;V;0;26;V;0;24;V;0;970;V;0;47;V;0;21;V;0;26;V;0;12;V;0;930;V;0;19;V;0;22;V;0;26;V;0
LLEIDA;TORMS (ELS);999;PARTICULAS EN SUSPENSION <10?M;25224999_10_M;2020;3;7;V;4;V;6;V;6;V;5;V;5;V;5;V;6;V;9;V;14;V;14;V;23;V;13;V;16;V;31;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;N;
LLEIDA;TORMS (ELS);999;PARTICULAS EN SUSPENSION <2,5?M;25224999_9_M;2020;3;3;V;2;V;3;V;4;V;3;V;2;V;2;V;4;V;3;V;6;V;7;V;13;V;6;V;8;V;15;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;N;
LLEIDA;TORMS (ELS);999;PLOMO (PM10);25224999_19_M;2020;3;0;N;0;N;0;N;0;N;0;N;0;3;V;0;N;0;N;0;N;0;N;0;N;0;2430;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
LLEIDA;TORMS (ELS);999;CADMIO (PM10);25224999_28_M;2020;3;0;N;0;N;0;N;0;N;0;N;0;5;V;0;N;0;N;0;N;0;N;0;N;0;7;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
LLEIDA;TORMS (ELS);999;ARSENICO (PM10);25224999_17_M;2020;3;0;N;0;N;0;N;0;N;0;N;0;7;V;0;N;0;N;0;N;0;N;0;N;0;27;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
LLEIDA;TORMS (ELS);999;NIQUEL (PM10);25224999_62_M;2020;3;0;N;0;N;0;N;0;N;0;N;0;13;V;0;N;0;N;0;N;0;N;0;N;0;60;V;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N;0;N
ASTURIAS;LLANES;999;PLOMO (PM10);33036999_19_M;2020;8;0;N;0;N;0;240;V;0;N;0;N;0;N;0;N;0;N;0;N;0;1950;V;0;N;0;N;0;N;0;N;0;1;V;0;N;0;N;0;N;0;N;0;110;V;0;N;0;N;0;N;0;N;0;N;0;N;0;9;V;0;N;0;N;0
ASTURIAS;LLANES;999;CADMIO (PM10);33036999_28_M;2020;8;0;N;0;N;0;3;V;0;N;0;N;0;N;0;N;0;N;0;N;0;10;V;0;N;0;N;0;N;0;N;0;4;V;0;N;0;N;0;N;0;N;0;1;V;0;N;0;N;0;N;0;N;0;N;0;N;0;5;V;0;N;0;N;0
ASTURIAS;LLANES;999;ARSENICO (PM10);33036999_17_M;2020;8;0;N;0;N;0;5;V;0;N;0;N;0;N;0;N;0;N;0;N;0;35;V;0;N;0;N;0;N;0;N;0;5;V;0;N;0;N;0;N;0;N;0;5;V;0;N;0;N;0;N;0;N;0;N;0;N;0;12;V;0;N;0;N;0
ASTURIAS;LLANES;999;NIQUEL (PM10);33036999_62_M;2020;8;0;N;0;N;1;57;V;0;N;0;N;0;N;0;N;0;N;0;N;1;83;V;0;N;0;N;0;N;0;N;0;33;V;0;N;0;N;0;N;0;N;1;49;V;0;N;0;N;0;N;0;N;0;N;0;N;0;59;V;0;N;0;N;0
VALENCIA;ZARRA;999;PLOMO (PM10);46263999_19_M;2020;8;0;N;0;N;0;950;V;0;N;0;N;0;N;0;N;0;N;0;N;0;720;V;0;N;0;N;0;N;0;N;0;560;V;0;N;0;N;0;N;0;N;0;770;V;0;N;0;N;0;N;0;N;0;N;0;N;0;1570;V;0;N;0;N;0
VALENCIA;ZARRA;999;CADMIO (PM10);46263999_28_M;2020;8;0;N;0;N;0;4;V;0;N;0;N;0;N;0;N;0;N;0;N;0;7;V;0;N;0;N;0;N;0;N;0;4;V;0;N;0;N;0;N;0;N;0;3;V;0;N;0;N;0;N;0;N;0;N;0;N;0;5;V;0;N;0;N;0
VALENCIA;ZARRA;999;ARSENICO (PM10);46263999_17_M;2020;8;0;N;0;N;0;15;V;0;N;0;N;0;N;0;N;0;N;0;N;0;14;V;0;N;0;N;0;N;0;N;0;20;V;0;N;0;N;0;N;0;N;0;17;V;0;N;0;N;0;N;0;N;0;N;0;N;0;30;V;0;N;0;N;0
VALENCIA;ZARRA;999;NIQUEL (PM10);46263999_62_M;2020;8;0;N;0;N;0;60;V;0;N;0;N;0;N;0;N;0;N;0;N;0;74;V;0;N;0;N;0;N;0;N;0;39;V;0;N;0;N;0;N;0;N;0;62;V;0;N;0;N;0;N;0;N;0;N;0;N;1;20;V;0;N;0;N;0
HUELVA;ALMONTE;999;DIOXIDO DE AZUFRE;21005999_1_38;2021;5;0;91;V;0;74;V;0;82;V;0;67;V;0;69;V;0;68;V;0;64;V;0;61;V;0;28;V;2;10;V;0;90;V;0;51;V;0;37;V;0;35;V;0;45;V;0;20;V;0;21;V;0;31;V;0;35;V;0;28;V;1;V;0;38
HUELVA;ALMONTE;999;MONOXIDO DE NITROGENO;21005999_7_8;2021;5;0;17;V;0;19;V;0;65;V;0;22;V;0;23;V;0;30;V;0;25;V;0;46;V;0;23;V;0;47;V;0;19;V;0;32;V;0;30;V;0;32;V;0;35;V;0;38;V;0;35;V;0;34;V;0;38;V;0;35;V;0;19;V;0
LLEIDA;TORMS (ELS);999;DIOXIDO DE AZUFRE;25224999_1_38;2021;5;0;33;V;0;38;V;0;43;V;0;48;V;0;52;V;0;68;V;0;60;V;0;60;V;0;56;V;0;40;V;0;38;V;0;42;V;0;41;V;0;41;V;0;52;V;0;50;V;0;42;V;0;50;V;0;47;V;0;50;V;0;47;V;0
LLEIDA;TORMS (ELS);999;MONOXIDO DE NITROGENO;25224999_7_8;2021;5;0;13;V;0;12;V;0;17;V;0;17;V;0;19;V;0;18;V;0;14;V;0;15;V;0;11;V;0;13;V;0;13;V;0;12;V;0;12;V;0;14;V;0;13;V;0;15;V;0;15;V;0;14;V;0;12;V;0;12;V;0;11;V;0
LLEIDA;TORMS (ELS);999;OXIDOS DE NITROGENO TOTALES;25224999_12_8;2021;5;2;90;V;2;80;V;3;30;V;2;90;V;2;90;V;2;90;V;2;50;V;2;50;V;2;V;2;V;2;V;1;80;V;1;40;V;1;70;V;2;V;1;20;V;1;60;V;2;V;1;40;V;1;50;V;1;20;V;1;60;V;2;V;1
LUGO;SAVIÑAO (O);999;DIOXIDO DE NITROGENO;27058999_8_8;2021;5;1;70;V;1;40;V;1;90;V;2;V;1;40;V;1;60;V;2;V;1;80;V;1;10;V;1;20;V;1;10;V;0;84;V;1;30;V;N;1;10;V;0;89;V;1;20;V;1;70;V;1;70;V;2;10;V;1;30;V;1;V;1;10;V
LUGO;SAVIÑAO (O);999;PARTICULAS EN SUSPENSION <10?M;27058999_10_47;2021;5;6;70;V;5;80;V;7;20;V;N;5;V;5;90;V;9;40;V;8;80;V;6;70;V;5;50;V;6;10;V;6;90;V;4;40;V;N;2;90;V;6;80;V;9;70;V;5;30;V;6;90;V;7;70;V;8;50;V;N;N;N;11;V;N
LUGO;SAVIÑAO (O);999;OXIDOS DE NITROGENO TOTALES;27058999_12_8;2021;5;2;V;1;60;V;2;20;V;2;30;V;1;70;V;1;90;V;2;30;V;1;90;V;1;30;V;1;40;V;1;30;V;1;10;V;1;60;V;N;1;40;V;1;10;V;1;50;V;2;V;2;V;2;50;V;1;60;V;1;40;V;1;40;V
ASTURIAS;LLANES;999;DIOXIDO DE AZUFRE;33036999_1_38;2021;5;0;19;V;0;23;V;0;71;V;0;92;V;0;24;V;0;25;V;0;24;V;0;61;V;0;22;V;0;23;V;0;25;V;0;19;V;0;15;V;0;20;V;0;860;V;0;17;V;0;43;V;0;59;V;N;0;39;V;0;21;V;0;47;V
ASTURIAS;LLANES;999;DIOXIDO DE NITROGENO;33036999_8_8;2021;5;0;92;V;0;85;V;1;80;V;2;20;V;1;80;V;1;60;V;1;50;V;1;90;V;1;70;V;1;70;V;1;V;1;80;V;2;V;1;40;V;1;60;V;1;30;V;1;40;V;2;20;V;N;1;40;V;1;10;V;1;20;V;1;50
ASTURIAS;LLANES;999;OZONO;33036999_14_6;2021;5;96;V;92;V;95;V;84;V;74;V;65;V;69;V;71;V;71;V;72;V;86;V;81;V;68;V;79;V;62;V;71;V;74;V;67;V;N;71;V;81;V;83;V;81;V;87;V;80;V;74;V;76;V;74;V;70;V;85;V;90;V;C;;
TOLEDO;SAN PABLO DE LOS MONTES;999;DIOXIDO DE AZUFRE;45153999_1_38;2021;5;0;28;V;0;33;V;0;34;V;0;35;V;0;43;V;0;43;V;0;45;V;0;52;V;0;36;V;0;26;V;0;32;V;0;33;V;0;32;V;0;31;V;0;34;V;0;23;V;0;25;V;0;36;V;0;44;V;0;55;V;0;49;V;0
TOLEDO;SAN PABLO DE LOS MONTES;999;MONOXIDO DE NITROGENO;45153999_7_8;2021;5;0;15;V;0;16;V;0;18;V;0;16;V;0;15;V;0;13;V;0;14;V;0;13;V;0;14;V;0;15;V;0;15;V;0;16;V;0;14;V;0;16;V;0;15;V;0;18;V;0;18;V;0;15;V;0;22;V;0;18;V;0;23;V;0
TOLEDO;SAN PABLO DE LOS MONTES;999;DIOXIDO DE NITROGENO;45153999_8_8;2021;5;0;72;V;0;76;V;1;10;V;0;91;V;0;72;V;0;58;V;0;52;V;0;57;V;0;65;V;0;46;V;0;42;V;0;63;V;0;58;V;0;54;V;0;49;V;0;52;V;0;63;V;0;54;V;0;91;V;0;81;V;0;65;V;0
TOLEDO;SAN PABLO DE LOS MONTES;999;OXIDOS DE NITROGENO TOTALES;45153999_12_8;2021;5;0;95;V;1;V;1;40;V;1;10;V;0;96;V;0;79;V;0;73;V;0;77;V;0;87;V;0;68;V;0;64;V;0;88;V;0;80;V;0;77;V;0;71;V;0;80;V;0;90;V;0;78;V;1;20;V;1;10;V;1;V;0;95;V
TOLEDO;SAN PABLO DE LOS MONTES;999;OZONO;45153999_14_6;2021;5;90;V;93;V;86;V;94;V;102;V;98;V;95;V;109;V;87;V;83;V;86;V;89;V;81;V;86;V;69;V;41;V;65;V;72;V;92;V;101;V;93;V;92;V;85;V;82;V;99;V;93;V;96;V;93;V;101;V;97;V;86;V;C;
BADAJOZ;BARCARROTA;999;DIOXIDO DE AZUFRE;06016999_1_38;2021;7;0;20;V;0;20;V;0;17;V;0;16;V;0;15;V;0;15;V;0;19;V;0;28;V;0;31;V;0;29;V;0;32;V;0;26;V;0;33;V;0;38;V;0;39;V;0;39;V;0;43;V;0;32;V;0;25;V;0;20;V;0;32;V;0
BADAJOZ;BARCARROTA;999;DIOXIDO DE NITROGENO;06016999_8_8;2021;7;5;90;V;4;70;V;4;V;2;60;V;2;50;V;2;50;V;2;20;V;1;90;V;3;30;V;4;70;V;2;50;V;1;10;V;1;70;V;2;60;V;2;70;V;2;10;V;1;80;V;1;30;V;2;20;V;1;90;V;3;10;V;3;10
BADAJOZ;BARCARROTA;999;OXIDOS DE NITROGENO TOTALES;06016999_12_8;2021;7;6;40;V;5;V;4;90;V;3;10;V;2;90;V;2;90;V;2;60;V;2;20;V;3;70;V;5;10;V;2;80;V;1;50;V;1;90;V;2;90;V;2;90;V;2;40;V;2;V;1;60;V;2;70;V;2;40;V;3;60;V;3;50;V
BADAJOZ;BARCARROTA;999;OZONO;06016999_14_6;2021;7;71;V;63;V;35;V;52;V;54;V;47;V;55;V;73;V;87;V;84;V;78;V;57;V;64;V;76;V;85;V;99;V;110;V;88;V;77;V;81;V;77;V;86;V;65;V;63;V;44;V;53;V;72;V;71;V;83;V;65;V;63;V;C;
BALEARES;MAHON;999;DIOXIDO DE NITROGENO;07032999_8_8;2021;7;2;60;V;2;90;V;1;60;V;1;50;V;1;40;V;1;80;V;1;V;1;20;V;1;30;V;3;70;V;2;10;V;1;50;V;0;95;V;2;10;V;1;40;V;4;70;V;4;20;V;4;80;V;6;70;V;7;80;V;3;V;1;70;V
BALEARES;MAHON;999;OXIDOS DE NITROGENO TOTALES;07032999_12_8;2021;7;3;V;3;80;V;2;V;1;90;V;1;80;V;2;20;V;1;30;V;1;50;V;1;60;V;4;30;V;2;50;V;1;80;V;1;20;V;2;50;V;1;70;V;5;20;V;4;50;V;5;20;V;7;40;V;9;V;3;50;V;2;V;2;30
BALEARES;MAHON;999;OZONO;07032999_14_6;2021;7;79;V;69;V;87;V;95;V;100;V;86;V;88;V;81;V;81;V;87;V;92;V;94;V;65;V;76;V;90;V;80;V;97;V;90;V;101;V;99;V;99;V;N;91;V;114;V;80;V;92;V;95;V;103;V;92;V;82;V;82;V;C;;
CORUÑA;NOIA;999;DIOXIDO DE AZUFRE;15057999_1_38;2021;7;0;94;V;0;67;V;0;69;V;0;62;V;0;57;V;0;59;V;0;66;V;0;92;V;0;88;V;0;77;V;0;76;V;0;74;V;0;72;V;0;79;V;0;84;V;0;98;V;1;20;V;1;20;V;1;20;V;0;89;V;0;89;V;0
CORUÑA;NOIA;999;DIOXIDO DE NITROGENO;15057999_8_8;2021;7;2;70;V;2;20;V;1;20;V;2;40;V;2;50;V;1;30;V;1;V;2;10;V;1;90;V;1;20;V;0;92;V;0;81;V;1;10;V;1;70;V;2;40;V;2;20;V;1;60;V;2;10;V;5;V;2;10;V;1;50;V;2;10;V
CORUÑA;NOIA;999;OXIDOS DE NITROGENO TOTALES;15057999_12_8;2021;7;3;V;2;50;V;1;50;V;2;70;V;2;80;V;1;60;V;1;30;V;2;60;V;2;30;V;1;40;V;1;20;V;1;10;V;1;40;V;2;10;V;2;80;V;2;40;V;1;80;V;2;30;V;5;70;V;2;30;V;1;70;V;2;50
CORUÑA;NOIA;999;OZONO;15057999_14_6;2021;7;48;V;38;V;37;V;38;V;41;V;44;V;39;V;47;V;49;V;47;V;41;V;36;V;36;V;47;V;53;V;72;V;86;V;71;V;53;V;55;V;54;V;43;V;42;V;41;V;38;V;61;V;45;V;56;V;51;V;38;V;41;V;C;
GIRONA;CADAQUES;999;DIOXIDO DE AZUFRE;17032999_1_38;2021;7;0;44;V;0;41;V;0;41;V;0;44;V;0;40;V;0;41;V;0;42;V;0;52;V;0;50;V;0;45;V;0;42;V;0;45;V;0;53;V;0;51;V;0;49;V;0;48;V;0;48;V;0;48;V;0;47;V;0;48;V;0;48;V;0
GIRONA;CADAQUES;999;MONOXIDO DE NITROGENO;17032999_7_8;2021;7;0;25;V;0;46;V;0;38;V;0;23;V;0;32;V;0;47;V;0;37;V;0;29;V;0;29;V;0;40;V;0;35;V;0;32;V;0;34;V;0;43;V;0;32;V;0;37;V;0;39;V;0;30;V;0;54;V;0;58;V;0;51;V;0
LLEIDA;TORMS (ELS);999;MONOXIDO DE NITROGENO;25224999_7_8;2021;7;0;10;V;0;10;V;0;11;V;0;11;V;0;11;V;0;12;V;0;15;V;0;13;V;0;12;V;0;950;V;0;9;V;0;13;V;0;13;V;0;970;V;0;970;V;0;10;V;0;11;V;0;970;V;0;860;V;0;760;V;0;11;V;0
BALEARES;MAHON;999;PARTICULAS EN SUSPENSION <10?M;07032999_10_M;2020;5;0;N;0;N;0;N;11;V;14;V;12;V;16;V;33;V;39;V;21;V;25;V;24;V;16;V;14;V;16;V;22;V;15;V;13;V;14;V;12;V;11;V;12;V;13;V;19;V;15;V;10;V;11;V;11;V;8;V;8;V;7;V;N;
BALEARES;MAHON;999;PARTICULAS EN SUSPENSION <2,5?M;07032999_9_M;2020;5;0;N;0;N;0;N;2;V;3;V;3;V;7;V;6;V;6;V;3;V;3;V;4;V;3;V;2;V;2;V;5;V;5;V;5;V;5;V;5;V;5;V;5;V;4;V;3;V;3;V;4;V;3;V;2;V;2;V;3;V;1;V;N;
LLEIDA;TORMS (ELS);999;PLOMO (PM10);25224999_19_M;2020;8;0;N;0;N;0;210;V;0;N;0;N;0;N;0;N;0;N;0;650;V;0;N;0;N;0;N;0;N;0;N;0;1450;V;0;N;0;N;0;N;0;N;0;N;0;1480;V;0;N;0;N;0;N;0;N;0;N;0;490;V;0;N;0;N;0
LLEIDA;TORMS (ELS);999;CADMIO (PM10);25224999_28_M;2020;8;0;N;0;N;0;2;V;0;N;0;N;0;N;0;N;0;N;0;7;V;0;N;0;N;0;N;0;N;0;N;0;8;V;0;N;0;N;0;N;0;N;0;N;0;10;V;0;N;0;N;0;N;0;N;0;N;0;4;V;0;N;0;N;0
LLEIDA;TORMS (ELS);999;ARSENICO (PM10);25224999_17_M;2020;8;0;N;0;N;0;7;V;0;N;0;N;0;N;0;N;0;N;0;15;V;0;N;0;N;0;N;0;N;0;N;0;27;V;0;N;0;N;0;N;0;N;0;N;0;20;V;0;N;0;N;0;N;0;N;0;N;0;14;V;0;N;0;N;0
LLEIDA;TORMS (ELS);999;NIQUEL (PM10);25224999_62_M;2020;8;0;N;0;N;0;34;V;0;N;0;N;0;N;0;N;0;N;0;49;V;0;N;0;N;0;N;0;N;0;N;0;95;V;0;N;0;N;0;N;0;N;0;N;0;89;V;0;N;0;N;0;N;0;N;0;N;0;56;V;0;N;0;N;0
VALENCIA;ZARRA;999;DIOXIDO DE AZUFRE;46263999_1_38;2021;5;0;26;V;0;22;V;0;19;V;0;24;V;0;33;V;0;42;V;0;35;V;0;62;V;0;45;V;0;38;V;0;26;V;0;23;V;0;30;V;0;33;V;0;30;V;0;33;V;0;36;V;0;34;V;0;34;V;0;35;V;0;44;V;0
VALENCIA;ZARRA;999;MONOXIDO DE NITROGENO;46263999_7_8;2021;5;0;15;V;0;21;V;0;28;V;0;19;V;0;18;V;0;17;V;0;18;V;0;19;V;0;15;V;0;16;V;0;16;V;0;14;V;0;16;V;0;16;V;0;13;V;0;15;V;0;20;V;0;22;V;N;0;18;V;0;13;V;0;970;V
VALENCIA;ZARRA;999;DIOXIDO DE NITROGENO;46263999_8_8;2021;5;0;72;V;0;75;V;1;40;V;0;46;V;1;40;V;0;88;V;1;40;V;1;40;V;0;61;V;0;45;V;0;44;V;0;50;V;0;80;V;0;68;V;0;60;V;0;41;V;1;20;V;0;75;V;N;0;92;V;0;57;V;0;53;V
VALENCIA;ZARRA;999;PARTICULAS EN SUSPENSION <10?M;46263999_10_47;2021;5;7;40;V;9;30;V;7;40;V;6;60;V;12;V;15;V;12;V;15;V;14;V;7;20;V;6;20;V;9;90;V;9;70;V;9;80;V;11;V;8;20;V;13;V;13;V;17;V;15;V;23;V;19;V;6;50;V;7;20;V;12;V;12;V
VALENCIA;ZARRA;999;OXIDOS DE NITROGENO TOTALES;46263999_12_8;2021;5;0;96;V;1;10;V;1;80;V;0;75;V;1;60;V;1;10;V;1;70;V;1;70;V;0;84;V;0;70;V;0;69;V;0;72;V;1;V;0;92;V;0;81;V;0;64;V;1;50;V;1;10;V;N;1;20;V;0;77;V;0;68;V;0
ZAMORA;PEÑAUSENDE;999;DIOXIDO DE AZUFRE;49149999_1_38;2021;5;0;20;V;0;20;V;0;19;V;0;16;V;0;17;V;0;18;V;0;17;V;0;16;V;0;21;V;0;22;V;0;21;V;0;29;V;0;24;V;0;24;V;0;26;V;0;29;V;0;25;V;0;25;V;0;24;V;0;19;V;0;23;V;0
ZAMORA;PEÑAUSENDE;999;MONOXIDO DE NITROGENO;49149999_7_8;2021;5;0;10;V;0;11;V;0;14;V;0;11;V;0;12;V;0;15;V;0;11;V;0;12;V;0;10;V;0;10;V;0;970;V;0;720;V;0;11;V;0;10;V;0;12;V;0;12;V;0;840;V;0;12;V;0;11;V;0;15;V;0;12;V;0
ZAMORA;PEÑAUSENDE;999;DIOXIDO DE NITROGENO;49149999_8_8;2021;5;0;47;V;0;42;V;0;72;V;0;58;V;0;50;V;0;67;V;0;55;V;0;53;V;0;54;V;0;39;V;0;30;V;0;37;V;0;59;V;0;39;V;0;59;V;0;43;V;0;27;V;0;60;V;0;61;V;0;77;V;0;60;V;0
ZAMORA;PEÑAUSENDE;999;PARTICULAS EN SUSPENSION <10?M;49149999_10_47;2021;5;6;50;V;7;10;V;7;80;V;10;V;7;60;V;8;70;V;11;V;16;V;8;30;V;6;70;V;8;10;V;N;N;6;90;V;7;10;V;5;60;V;9;70;V;8;90;V;6;80;V;10;V;9;10;V;8;V;8;50;V;10;V;13;V
ZAMORA;PEÑAUSENDE;999;OXIDOS DE NITROGENO TOTALES;49149999_12_8;2021;5;0;63;V;0;58;V;0;93;V;0;75;V;0;67;V;0;89;V;0;71;V;0;71;V;0;68;V;0;53;V;0;42;V;0;47;V;0;75;V;0;53;V;0;76;V;0;61;V;0;38;V;0;77;V;0;79;V;1;V;0;78;V;0;42
ZAMORA;PEÑAUSENDE;999;OZONO;49149999_14_6;2021;5;82;V;78;V;82;V;102;V;78;V;65;V;71;V;92;V;71;V;72;V;82;V;79;V;72;V;74;V;47;V;48;V;82;V;66;V;84;V;82;V;73;V;78;V;75;V;80;V;82;V;N;84;V;98;V;82;V;80;V;89;V;C;;
BALEARES;MAHON;999;OXIDOS DE NITROGENO TOTALES;07032999_12_8;2021;5;2;V;1;30;V;1;40;V;1;30;V;2;50;V;1;90;V;0;68;V;1;30;V;1;40;V;2;V;3;70;V;1;30;V;0;86;V;0;93;V;1;50;V;3;20;V;0;74;V;3;80;V;0;87;V;1;10;V;0;81;V;1;40;V
